#{"t_start": 1770576848.9145932, "env_id": "None"}
r,l,t
-19.358301,1,1.303888
-24.147056,1,1.304593
-17.208597,1,1.305475
-10.28843,1,1.306225
-7.452752,1,1.307081
-14.311177,1,1.3079
-19.700254,1,1.308813
-30.638978,1,1.309525
-26.248465,1,1.31023
-7.671677,1,1.310978
-31.738488,1,1.311687
-5.936145,1,1.312407
-24.130542,1,1.313113
-32.728201,1,1.313821
-17.446446,1,1.314556
-32.715692,1,1.315277
-11.325087,1,1.315993
-9.124853,1,1.316807
-6.888879,1,1.317551
-21.379859,1,1.318275
-19.618858,1,1.319024
-24.133866,1,1.31983
-24.807285,1,1.320543
-9.197809,1,1.321325
-15.704256,1,1.322054
-12.926864,1,1.322789
-18.950073,1,1.323505
-15.902467,1,1.32421
-24.518453,1,1.32492
-13.44183,1,1.325635
-31.061593,1,1.326342
-2.331729,1,1.327088
-22.872521,1,1.327828
-5.271386,1,1.328543
-9.845169,1,1.329279
-6.76676,1,1.330006
-14.955219,1,1.330714
-25.122652,1,1.331411
-29.720693,1,1.332123
100.0,1,1.332853
-22.903289,1,1.333568
-26.656086,1,1.334271
-32.199182,1,1.33498
-18.922396,1,1.335687
-25.605753,1,1.336387
-2.176496,1,1.337142
-25.838331,1,1.337857
-25.796843,1,1.338567
-21.951433,1,1.339269
-32.898203,1,1.339973
-23.968859,1,1.340679
-24.673925,1,1.341379
-29.886408,1,1.342084
-9.095193,1,1.342791
-24.693593,1,1.343502
-15.780201,1,1.344203
-2.546198,1,1.344951
-21.797821,1,1.345708
-26.007027,1,1.346414
-25.550681,1,1.347117
-14.181382,1,1.348003
-26.880225,1,1.348711
100.0,1,1.349404
-15.517417,1,1.350108
-26.802396,1,1.350822
-11.18967,1,1.351531
-14.115111,1,1.352231
-31.253728,1,1.352939
-4.509471,1,1.353651
-2.456443,1,1.354402
-10.123488,1,1.355398
100.0,1,1.356171
-15.315268,1,1.356884
-20.385494,1,1.357595
-31.374804,1,1.889055
-4.415658,1,1.890739
-25.139512,1,1.892103
-2.500234,1,1.893573
-22.412536,1,1.895027
-30.262468,1,1.896801
-8.275441,1,1.898281
-18.302541,1,1.89964
-28.557789,1,1.901024
-11.889525,1,1.903003
-18.323093,1,1.904386
-27.70174,1,1.905756
-12.674757,1,1.907226
-2.742422,1,1.908431
-4.353974,1,1.909678
-29.34765,1,1.911275
-15.136912,1,1.912349
-23.881324,1,1.913422
-13.184702,1,1.915026
-24.652083,1,1.916101
-13.569365,1,1.917248
-7.198715,1,1.918377
-25.950096,1,1.919445
-27.614839,1,1.921045
-3.336683,1,1.922208
-26.051656,1,1.92328
-15.097773,1,1.924347
-17.057625,1,1.925468
-9.882537,1,1.926645
-11.181877,1,1.927354
-31.383511,1,1.928288
-13.854297,1,1.929001
-9.911877,1,1.929813
-16.698534,1,1.930598
